batch,rounding,layout_id,family,error_mode,source_count,arm,original_config,station_budget,conditions_per_layout_per_arm,completed_stations,station_id,discovered_channels,cleared_channels,virtual_time_s,discovered_fraction
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,22,14,11,8,5117.199738,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,23,15,11,8,5369.796384,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,24,16,11,9,5747.020015,1.0
round9_main,bounded,inward_111002_spatial_hash,inward,spatial_hash,11,recommended25,FINAL,25,1,25,17,11,11,6018.615794,1.0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,0,,0,0,0.0,0.0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,1,15,0,0,119.0,0.0
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,2,9,5,0,436.0,0.38461538461538464
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,3,8,7,5,1570.09734,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,4,13,7,7,2066.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,5,7,7,7,2341.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,6,2,7,7,2616.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,7,3,7,7,2891.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,8,0,7,7,3166.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,9,4,7,7,3441.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,10,1,7,7,3716.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,11,5,7,7,3991.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,12,10,7,7,4266.799978,0.5384615384615384
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,13,16,11,7,4541.799978,0.8461538461538461
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,14,11,11,11,5516.841443,0.8461538461538461
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,15,6,11,11,5767.841443,0.8461538461538461
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,16,12,11,11,6018.841443,0.8461538461538461
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,17,17,11,11,6269.841443,0.8461538461538461
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,18,22,12,11,6520.841443,0.9230769230769231
round9_main,bounded,tangent_111003_spatial_hash,tangent,spatial_hash,13,baseline31,BASE,31,1,19,27,13,12,6833.987431,1.0
