case_id,seed,family,source_count,error_mode,rounding,variant,current_s,candidate_s,change_s,change_pct,current_success,candidate_success
dispatch_development_uniform_2026091300_smooth,2026091300,uniform,10,smooth,bounded,COVERAGE_ORDER,3218.724698,3218.724698,0.0,0.0,True,True
dispatch_development_uniform_2026091300_spatial_hash,2026091300,uniform,10,spatial_hash,bounded,COVERAGE_ORDER,3174.491753,3174.491753,0.0,0.0,True,True
dispatch_development_uniform_2026091301_negative,2026091301,uniform,11,negative,bounded,COVERAGE_ORDER,3722.752628,3722.752628,0.0,0.0,True,True
dispatch_development_uniform_2026091301_positive,2026091301,uniform,11,positive,bounded,COVERAGE_ORDER,3583.856524,3583.856524,0.0,0.0,True,True
dispatch_development_uniform_2026091301_smooth,2026091301,uniform,11,smooth,bounded,COVERAGE_ORDER,3739.757401,3739.757401,0.0,0.0,True,True
dispatch_development_uniform_2026091301_spatial_hash,2026091301,uniform,11,spatial_hash,bounded,COVERAGE_ORDER,3422.535735,3422.535735,0.0,0.0,True,True
dispatch_development_uniform_2026091302_negative,2026091302,uniform,12,negative,bounded,COVERAGE_ORDER,3094.316653,3094.316653,0.0,0.0,True,True
dispatch_development_uniform_2026091302_positive,2026091302,uniform,12,positive,bounded,COVERAGE_ORDER,2898.779189,2898.779189,0.0,0.0,True,True
dispatch_development_uniform_2026091302_smooth,2026091302,uniform,12,smooth,bounded,COVERAGE_ORDER,2905.445945,2905.445945,0.0,0.0,True,True
dispatch_development_uniform_2026091302_spatial_hash,2026091302,uniform,12,spatial_hash,bounded,COVERAGE_ORDER,3061.054645,3061.054645,0.0,0.0,True,True
dispatch_development_uniform_2026091303_negative,2026091303,uniform,13,negative,bounded,COVERAGE_ORDER,3197.227235,3400.306615,203.07938000000013,6.351734333327741,True,True
dispatch_development_uniform_2026091303_positive,2026091303,uniform,13,positive,bounded,COVERAGE_ORDER,3234.735105,3234.735105,0.0,0.0,True,True
dispatch_development_uniform_2026091303_smooth,2026091303,uniform,13,smooth,bounded,COVERAGE_ORDER,3253.01159,3253.01159,0.0,0.0,True,True
dispatch_development_uniform_2026091303_spatial_hash,2026091303,uniform,13,spatial_hash,bounded,COVERAGE_ORDER,3189.318307,3396.842491,207.52418399999988,6.506850807099451,True,True
dispatch_development_uniform_2026091304_negative,2026091304,uniform,14,negative,bounded,COVERAGE_ORDER,3380.876498,3380.876498,0.0,0.0,True,True
dispatch_development_uniform_2026091304_positive,2026091304,uniform,14,positive,bounded,COVERAGE_ORDER,3510.868562,3510.868562,0.0,0.0,True,True
dispatch_development_uniform_2026091304_smooth,2026091304,uniform,14,smooth,bounded,COVERAGE_ORDER,3466.657513,3466.657513,0.0,0.0,True,True
dispatch_development_uniform_2026091304_spatial_hash,2026091304,uniform,14,spatial_hash,bounded,COVERAGE_ORDER,3449.560056,3449.560056,0.0,0.0,True,True
dispatch_development_uniform_2026091305_negative,2026091305,uniform,15,negative,bounded,COVERAGE_ORDER,3628.466106,3634.322536,5.856430000000273,0.16140236201507285,True,True
dispatch_development_uniform_2026091305_positive,2026091305,uniform,15,positive,bounded,COVERAGE_ORDER,3431.008674,3431.008674,0.0,0.0,True,True
dispatch_development_uniform_2026091305_smooth,2026091305,uniform,15,smooth,bounded,COVERAGE_ORDER,3453.452409,3453.452409,0.0,0.0,True,True
dispatch_development_uniform_2026091305_spatial_hash,2026091305,uniform,15,spatial_hash,bounded,COVERAGE_ORDER,3593.188085,3578.450471,-14.737613999999667,-0.41015425998774946,True,True
dispatch_development_uniform_2026091306_negative,2026091306,uniform,16,negative,bounded,COVERAGE_ORDER,3967.752616,3967.752616,0.0,0.0,True,True
dispatch_development_uniform_2026091306_positive,2026091306,uniform,16,positive,bounded,COVERAGE_ORDER,3812.04901,3812.04901,0.0,0.0,True,True
dispatch_development_uniform_2026091306_smooth,2026091306,uniform,16,smooth,bounded,COVERAGE_ORDER,3935.194121,3935.194121,0.0,0.0,True,True
dispatch_development_uniform_2026091306_spatial_hash,2026091306,uniform,16,spatial_hash,bounded,COVERAGE_ORDER,4157.072183,4646.563464,489.4912809999996,11.774904535017061,True,True
dispatch_development_cluster_2026091314_negative,2026091314,cluster,10,negative,pre_round_stress,COVERAGE_ORDER,2079.856384,2117.688445,37.83206099999961,1.818974679744012,True,True
dispatch_development_cluster_2026091314_positive,2026091314,cluster,10,positive,pre_round_stress,COVERAGE_ORDER,2072.141561,2072.141561,0.0,0.0,True,True
